,retweetcount,has Supreme Court case-insensitive
552,1,False
553,14,False
554,20,False
555,0,False
556,14,False
557,6,False
558,3,False
559,14,False
560,14,False
561,0,False
562,14,False
563,0,False
564,0,False
565,0,False
566,1,False
567,20,False
568,0,False
569,4,False
570,0,False
571,17,False
572,0,False
573,0,False
574,3,False
575,17,False
576,0,False
577,29,False
578,4,False
579,0,False
580,17,False
581,0,False
582,17,False
583,0,False
584,0,False
585,0,False
586,0,False
587,0,False
588,0,False
589,17,False
590,1,False
591,6,False
592,0,False
593,6,False
594,0,False
595,1,False
596,23,False
597,0,False
598,3,False
599,7,False
600,17,False
601,3,False
602,2,False
603,3,False
604,2226,False
605,2,False
606,0,False
607,2,False
608,17,False
609,4,False
610,17,False
611,4,False
612,0,False
613,17,False
614,13,False
615,17,False
616,2,False
617,3,False
618,4,False
619,0,False
620,2,False
621,0,False
622,0,False
623,0,False
624,0,False
625,0,False
626,0,False
627,0,False
628,0,False
629,1,False
630,0,False
631,0,False
632,91,False
633,0,False
634,0,False
635,0,False
636,0,False
637,91,False
638,0,False
639,0,False
640,91,False
641,0,False
642,0,False
643,91,False
644,91,False
645,0,False
646,1,False
647,11,False
648,0,False
649,0,False
650,1,False
651,0,False
652,1175,False
653,0,False
654,2,False
655,3,False
656,0,False
657,0,False
658,2208,False
659,1,False
660,1,False
661,11,False
662,12,False
663,1,False
664,1,False
665,0,False
666,0,False
668,11,False
669,0,False
670,0,False
671,0,False
672,11,False
673,0,False
674,592,False
675,1,False
676,11,False
677,11,False
679,11,False
680,11,False
681,11,False
682,7,False
683,91,False
684,11,False
685,0,False
686,0,False
687,0,False
688,10,False
689,2226,False
690,0,False
691,17,False
692,44,False
693,12,False
694,0,False
696,160,False
697,31,False
698,825,False
699,257,False
700,239,False
701,11,False
702,2,False
704,9,False
705,825,False
706,2,False
707,592,False
708,251,False
709,91,False
710,3,False
711,6,False
712,2226,False
713,51,False
714,0,False
715,4,False
716,0,False
717,0,False
718,0,False
719,6,False
720,1,False
721,4,False
722,3,False
724,2226,False
725,2,False
726,3,False
727,6,False
728,0,False
729,6,False
730,1,False
731,2226,False
732,0,False
733,6,False
734,6,False
735,91,False
736,346,False
737,0,False
738,6,False
739,2,False
740,0,False
741,0,False
742,346,False
